ulasan bersih,sentimen
sangat manfaat baik butuh bisa bantu dukung giat lebih baik,positif
ribet bank inibensin habis ndak isi pake qris baik system,positif
oke,netral
tidak bisa daftar gagal data sesuai ektptapi gagal,negatif
mah livin mandiri pelihara jdi tidak nyaman pakai,netral
muter koneksi baguss susah transfer bayar tolong baik,positif
kurang aplikasi mbanking ukur rasio layar device milik sisa black bar atas bawah cukup ganggu optimal aplikasi dukung rasio layar lebih rasio lebih enak guna,netral
pakai samsung livin mandiri pindah samsung clear verifikasi sms pin tahap verifikasi wajah gagal ulang call cs tunggu tgl april pikir kerja nungguin tolol,negatif
bagus lancar guna,positif
log tingkat min baik tidak bisa pake mbanking nih gercep kocak,netral
puas banget,positif
kecewa banget pake livin mandiri malam ganggu payah,negatif
livn mandiri fitur daftar livin mandiri qris statis stiker sten menu livin usaha online repot antri kantor cabang kirim qris livin mandiri fisik stiker sten langsung ambil langsung kantor cabang repot antri kantor cabang daftar qris livin mandiri stiker sten kirim alamat rumah online ambil kantor cabang aplikasi livin mandiri superapp biar tidak repot meng,netral
buka loding buka loding buka loding alias nutup aduh aduh aduh,netral
oke oke god,netral
tidak bisa ganti nomor hp mohon baik trimakasih,netral
tidak bisa transaksitransfer beli pulsa tidak bisa maintenance,negatif
simpel,netral
aplikasi ribet bayar pajak tanah susah ampun kode billing masuk tidak bisa bisa gilir kewat tokopedia bisa bank elit fitur sulit kalah layan bayar eceng eceng,negatif
terima gajih potong tanggal nerima lebur potong admin truss tranfer masuk tidak ambil potong transfer potong,netral
bagus akurat,positif
install klik buka aplikasi pilih nomor rekening bawah kartu debit klik ngak bisa mohon dbantu,netral
isi emoney aplikasi rp saldo potong tidak masuk kartu emoney pas update,netral
kecewa sistem aplikasi bayar pake qris saldo potong tidak masuk merchant bayar udah ajuin refund sampe tiga bank mandiri estimasi ttp tuntas tunda tahap investigasi kecewa berat layan sistem aplikasi tolong baik,netral
aplikasi busukg angin g apatw nominal rekening tahan n g bisa apa inmerepotkan,netral
adu lambat responnya tidak tanggap,negatif
banyak eror,netral
sangat bantu livin,netral
aplikasi bagusudah bayar,netral
aplikasi livin sgt bantu login tidak bisa dlm baik,netral
bagus banget,positif
aplikasi mandiri transfer td gx bs doank bgs kesini sulit nasabah banget,netral
tidak top pulsa tidak bisa,netral
mantap,positif
tidak bisa kunjung cabang dekat tulong depermudah masuk akun,negatif
mantap,positif
mantap cepat proses,positif
aplikasi gabisa buka mah bikin mbanking coba login lgsg beranda lgga banget niat tidak bikin repot hrs bolak atm dobel nyusahin,netral
turut sih bantu segi daftar tidak ribet langsung bisa pakai cukup pake saldo rb oke,netral
susah online masuk akun tolong baik,positif
mudah transaksi apa mana,netral
hp tidak bisa hubung livin,negatif
tidak banget layan mandiri layan service nama rizky ardhi judes gatot subroto judes banget bales whatsapp tidak sabar sopan cstmr layan aplikasi livin mandiri sangat cukup transfer tunda mulu pusing untung saldo sisa tidak,netral
tidak suport hp realmi c mhn inponya,netral
nggk bisa buka mohon solusi mks,netral
sangat bantu,netral
terimakasih orang baik,positif
sangat bantu si nomor daftar hp ilang konfirmasi ubah nomor hp proses moga mudah depan,netral
tidak bisa login data,negatif
mantab,netral
sangat bagus,positif
daftar buka tabung tidak bisa cuman foto ektp,negatif
bantu bikin kartu livin mandiri kantor buka kartu bank mandiri ngak bisa daftar pakai ktp asli,netral
udah coba kali utk aktivin si livin ngirim kode otp banget gilir pake lgsg gercep verivikasi bilang layan tidak sedia sedia hadech kecewa berat dah,negatif
semangat,netral
kuota aman mas login coba gmana sih pakai transaksi,netral
sumpah parah livin susah suruh vertifikasi wajah nyampe kali sampe x berbulanbulan tetep tidak bisa ahinya coba bank mandirike customer service tetep tidak bisa hpnya gilir ganti hp baru tetep gabisa veri parah pokok,negatif
bintanh karna force close,netral
update livin mndiri kantor langsung tidak bisa daftar,negatif
bagus,positif
saldoq bisa masuk,netral
tingkat kualitas lebih baik segi,positif
baik,positif
prangkat tidak dukung udah buka livin mandiri,netral
hp aktif habis living tidak conek ayo living solusi biar bisa ganti nomer baru,netral
tolong potong saldo hilang sekian tidak bukti potong karna biaya apaa gmna sih kelas bank mandiri kaya gin payah jeleek malu swastaa tuh,netral
aplikasi bagus sangat mudah transaksi,positif
tidak bisa bikin akun livin bolak cs suruh nunggu minggu install ulang tidak bisa,negatif
aplikasi sangat bantu,netral
asik,netral
tidak bisa handphone redmi miris nyatolong turun lagigiga biar bisa pakai org,negatif
sangat bagus,positif
sempurna profesional sukses slalu livin,netral
sangat membantkekuranganya buku tabung tidak,netral
sangat membanti,netral
tidak bisa buka,negatif
bagus bisa batu transaksi,positif
harap livin tidak seringupdet sistem karna memori hp penuh,netral
mantap simpel aplikasi sungguh,positif
sangat manfaat,netral
transfer gampang gaperlu save daftar transfer tinggal copas langsung bisa transfer tidak kaya app sebelh rumit,netral
mandiri bank buka tidak bisa skrg yah,negatif
tidak bisa top pulsa saldo cukup,netral
aplikasi sangat bantu,netral
ringan mudah mudah erti,netral
sangat bantu aplikasi,netral
kak aktif ksm napa kak,netral
banget sy ganti hp sy pindah hp baru engga bisa gagal verifikasi wajah hadeuh,negatif
ganti hp tidak bs buka,netral
opsi login pasu nmr kartu cvv dll digital kartu fisik kirim tidak dtg tuh,netral
oke,netral
selesai baru verifikasi wajah coba ulang kali gagalmalah ruwet pindah lebih gampang,negatif
mantap,positif
saldo ku potong baru kirim tunda g mna,netral
senang bank mandiri bantu moga bisa tabung lebih,positif
mantap,positif
error,negatif
susah akses livin aplikasi,netral
aplikasi keren mudah moga depan bagus sangat puas aplikasi bisa mudah transaksi mana poko oke banget dah,positif
login digit gimana,netral
bagusdan cepat,positif
keren,netral
mandiri best,netral
bagus,positif
aq bantu livin udah lebih livin tidak bisa transaksi transferkenapa saldo cukupno pin udah,negatif
masuk area pin suka hang,positif
lumayan,netral
aplikasi bantu,netral
alhamdulillah sanggat membantutetap aman aman ajasemoga g kendala depan,netral
jahri,netral
oke,netral
susah login,netral
aplikasi livin hapus pas coba login butuh nomor rekening sdgkn kartu fisik terima udah hubung cs kali maret sampe skrg gaada email masuk data gaada lanjut nanya data kali gaada tera kartu fisik kirim max sampe nyesel banget pake livin saldo rekening rb lebih kartu fisik tidak kirim,netral
kasih terimakasih sigap baik,positif
sangat bagus bank mandiri bang bri darurat pulsa saldo tinggal ribu bisa ngisi pulsa bank bri tidak bisa,netral
tidak kau temu apknya,netral
terimakasih batu transaksi mudah cepatt,netral
livin mandiri mantap skli,positif
nge auto debit duit tampa terang apa alas cicil jatuh tempo,netral
bagus aplikasi,positif
hama,netral
mbanking simple,netral
update nyusahin tidak aplikasi miror share aps beda belah mesti bolak restart hp pake,netral
gabisa masuk livin layan tidak sedia proses verifikasi tidak jalan masukin data sinyal stabil mohon baik,positif
ganti atm livin hp lanjur hapus maksud ganti atm baru cetakkendalanya baik,positif
bantu login kak nomer hp ganti kartu tidak loginnya gimana,netral
mantap,positif
bismillah moga bisa lebih manfaat,netral
good,netral
woi eror tidak ngotak jam lebih payah,netral
tidak bisa bikin akun mbanking hp,negatif
aplikasi online sistem offline udah kaya warung sembako jam malam tidak bisa pake transaksi sampe pagi kaga bisa andelin transaksi malem,negatif
sangat bantu dalamtransasi apa,netral
sangat manfaat,netral
mantap,positif
kebanyakn ganggu,netral
tolong mslh pelihara rutinjangan jam riskan,netral
livin mandiri tidak milik payleter harap baru saldo jngan,netral
good,netral
ccilan jatoh tempo tgl ehh tanggal saldo kn mandiri gimana sih kesini parah,negatif
guna livin mandiri cukup transaksi livin mandiri alhamdulillah cukup bagus aplikasi peyleter ksm mandiri tidak,positif
oilah livin knpaa sih tidak bisa top dana tidak bisa top apa,netral
saldo rekening pas,netral
tolong hadir fitur paylater pinjam,netral
aplikasi gajelas vermuk kali gabisa sampe dateng kacab gadaa solusi downgrade banget,netral
isi e monay ribu barusan ribu data potong tidak isi e monay gebrak mandiri oh mandiri,netral
aplikasi sampah guna baru lebih baik pakai aplikasi bank,netral
hp force close solusi gimana,netral
parah login device baru tidak kompetibel sih play kompetibel os dipake atas minimum guna tidak bisa tolong baik cepat,netral
mantap,positif
maaf apl livinby mandiri tidak daftar,netral
livin tidak bisa buka pas msuk k apl,negatif
kak nik masukin susah apalgi nik g tolong jelasin,netral
kenap livin ku nggak pilih daftar kartu keredit min,netral
aplilasi bagus bantu layan tidak cepat tele tele tidak bisa login akun hubung kantor cabang kantor cabang arah call center proses cepat telpon call center suruh kantor cabang ampun ampun,positif
livin sangat,netral
spil satpam e sng taruk kae,netral
woi gabisa daftar sistem hp tidak resmi gimana,netral
amazing,netral
susah banget login,netral
aju paylater,netral
aplikasi ketik menu terus,netral
mandiri bobrok pasu kode otpkatanya vitur tidak tersediamau pindah bank klau kya gin ribet,netral
tidak bisa top pulsa,netral
vermuk vermak vermuk wajah tidak deteksi muka fulludah kedip sampe mata capek adain verifikasi vermuk,netral
buka rekening mudah,netral
like,netral
buat rekening mudah,netral
bagus gampang paham tidak lelet,positif
buka aplikasi tidak bisa dukung hp sklinya buka hp bisa aneh,negatif
sangat mudah transaksi,netral
mantap lebih simpel,positif
hadeuhh ni livin knpa susah mauk wayah hapus tida sengaja eh pas begituh donlowad susah banget masukyah kataya baik sistem dah kali pe semingu ku tunggu bulan susah masuk diarahin haruske kantor cabang tidak tau bingung jadiyah nomor kode otp masuk susah masukyah pake masukyah mohon aplikasi livin permudahla kmi bisa msuk,positif
transfer rek tidak bs pd rek,netral
kak gimana perihal tidak bisa login aplikasi tulis baharu aplikasi ikut urut isi layan tidak sedia mohon bantu cepat kak,netral
ganti hp download livin verifikasi wajah muncul verifikasi tambah,netral
mudah transaksi aplikasi mudah,netral
tidak bisa daftar karna ktp rusak album fto fto ktp bguss,negatif
cs nawarin kartu kredit ngirim gw bilang gw tidak butuh paksa alamat gw kasih kasihan gw bilang gw tidak transaksi jgn aktif eh tau pas gw bayar pakai qr tidak tau kartu kredit udah motong otomatis aneh tidak sih udah tidak aktif bisa transaksi udah proses blokir banget udah gw bayar nunggu tgl aneh banget kaya tidak becus gitu,netral
aplikasi k hapus hp eh pas download tau tidak bisa alas verivikasi gagal k bank langsung bank langsung tidak bisa csnya ngenanganin alas mukany audah tidak ktp jam dsna operasi muka tidak dsuruh k dukcapil padhl kaya aplikasi tang masalah mlh suruh dukcapil,negatif
habis topup saldo potong tidak masuk konvirmasi jawabanya lempar,netral
oke sih trsnsksi cepat banget saran klw toaup pinjamn ksm x tidak bisa ngajuwin,netral
terkadang lambat,negatif
payah aplikasi isi kendala tangan lambat parah,negatif
aplikasi mandiri sangat bantu kembang truss boss,netral
aplikasi bagus moga sukses,positif
kecewa mandiri,negatif
sangat senang mengunakan livin,positif
buka aplikasi suka dah hapus data download ulang error aneh,netral
aplikasi hapus instal login lupa nomor kartu solusi,netral
bank buruk mandiri gangguaneror pelihara sistem terusmesin atm susah banget cari hadeh banget bca ogah pake mandiri,negatif
banyak pemeliharan knapa tidak jam pelihara nanggung banget orang banget pelihara hadeh tidak,netral
malam eror,netral
pas pakai living mandiri ee akun blokir langsung bank posisi negri ubah pasword kartu daftar tidak aktif,netral
susah transaksi,netral
mnding jngan pake dah bank menu top ewallet banget ganggu jdi nyusahin nasabah,positif
verifikasi muka tidak bisa seringkali ulang muka kondisi kamera hp tidak,negatif
tahun pake kendalatiba tidak bs dipake notif jam hp tidak samahellow hp online smpe uninstal instal ulang ganti hp ngabisin pulsa smssetiap otp masuk pas dimasukin loadingnya ujung eror tidak bs dipake smpe hr tlp call center ujung suruh kntr males bgtribettsmakin kesini mudah sulit nasabah play store tidak notif updatetrus piye,netral
,netral
aplikasi sangat bagus livinby mandiri mudah transaksi mandiri mesin atm cukup livinby mandiri ku kasi bintang aplikasi,positif
livin skrg tidak sedia yaa gmna biar bisa masuk,netral
lebih x chb hapus install ulang sistem hp tidak dukung hp setel ulang pabrik tetep tidak bisa komplain via email,negatif
aplikasi oke nasabah bank mandiri guna kartu kredit bank mandiriselama nasabah bank mandiri tolak bolak aju ksm bank mandiri aplikasi livin tawar ksm nasabah pilih aju ksm aju tolak nasabah pilih hrsnya tuju tidak sulit trauma utk aju ksm bank mandiricapek isi data tolaktdk disetujuisaya aju pinjam ksm bank mandiri utk renovasi rmh,netral
ngebug,netral
aplikasi sangat bagus bantu proses transaksi,positif
sangat bagus,positif
transfer ewalet tidak bisa saldo saldo iya tidak bisa qris tidak hasil aneh,negatif
pemberitahuanya fungsi handphone pas dwonload tidak bisa aneh aolikas skrng,negatif
payah,netral
mantap dah mudah,positif
sangat bantu,netral
alhamdulillah mantap,positif
malam transfer qris bayar tunda kembali transfer teman saldo tidak masuk lapor kirim solusi,netral
apknya mantap,positif
livin tidak hilang pitur paylaternya kayak taik,netral
mudah cepat,positif
rekening tidak bisa verivikasi wajah udah tau gin gw bikin rekening bca,negatif
aplikasi mudah,netral
keren,netral
baik,positif
sangat bantu min,netral
uang hilang,netral
gua masuk tidak bisa cs bisa bantu kantor cabang dekat,negatif
hallo kka tnya ubah dlm metode transfer sy transfer dri livin bank bpd bi fastnya tidak bisa,negatif
mantops,netral
dikit update,netral
tidak bisa login nanya cs csnya lot puter puter nanya mana suruh bank langsung cs tidak,negatif
aplikasi sangat baik,positif
oke mantap,positif
aplikasi babi daftar masuk x gagal jggini bank bumn ecommerce notabene usaha swasta tidak bebanin negara bs lebih baik milik bumn,netral
tidak bisa buka,negatif
bagus,positif
udah minggu buka mbanking kala muncul tanda seru lanjutin verify cabang mandiri sampe sono tetep gaada buka verify nomor tidak ganti ganti hp edit udah bisa,netral
aplikasi sangat bantu keungan,netral
kerja keras biar sukses,netral
mantap,positif
aplikasi sangat bantu,netral
aplikasi tolol muter muter suruh ngubah pin selfi ngubah pin selifi ngubah pin blokir tolol maksud coba mending gampang daftar langsung masuk,netral
livin transfer transaksi gangguancoba baik kualitas aplikasi,positif
force close gimana solusi,netral
cukup baik aplikasi licin,positif
mudah sulit,netral
daftar livin kartu kirim alamat sampe nyampe nyampe gimana yah jelas,netral
saldo transfer top bayar va qris g bisa cuan gedein gilir trouble aplikasi bug g bisa benerin payah,positif
aplikasi bagus tampil keren sedia langsung fitur investasi saham indo sbn reksa moga next tabung emas investasi saham us biar cukup install aplikasi moga maju mandiri,positif
pegambila foto susah acc masak pake hp kamera bagus si licin masuk susah kemarin sampe gimana masuk gara ambil foto selfi,positif
bagus,positif
amanah,netral
bagus,positif
puas livin mandiri,positif
living kenepa pas masuk kode otp slalu pelihara arah kantor cabang sangat susah banget nomor kartu mandiri udah masukin smua tolong aplikasi perbaikin cepat,positif
bagus,positif
top saldo mbanking tidak masuk masuk udah gitu saldo kurang jujur kecewa layan living mandiri tidak cepat tanggap keluh customer kerja tidak pakai livin mandiridan layan livin mandiri buruk aplikasi mbanking,netral
top jam malam ganggu,positif
transaksi top bayar qr ganggu jam smpe pagie,positif
lumayan ganggu,netral
bagus,positif
mohon baik sistem transfer rupiah kadang tidak masuk saldo potong tidak adu bikin susah adu tidak bebas pulsa transaksi pakai edc mandiri kadang,positif
pelihara tuh haribumn gimana si kalah swasta,netral
bagus,positif
tidak bca topup dana tidak bisa alas nomor tidak temu nomor bisa tidak livin merchant tidak livin tolong baik depan biar tidak orang,netral
gagal mulu verifikasi wajah,negatif
maintenance buruk,negatif
pelihara bisa tetap jgn beda pelihara pkul pagi jadwal stiap pkul pagi stiap biar tau bisa maklum susah bnar pakai usaha pulsa gin mngecewakan skli sistimnya,netral
mohon bantu kak daftar gilir scan fajah gx bisa padah sesuai ktp,netral
bagus,positif
serba praktis poko,netral
tidak bisa masuk mbking karna tidak kartu bisa masuk,negatif
good,netral
baik,positif
buruk siang tidak hasil hubung coba coba,negatif
gimana topup bayar va transaksi batal mulu ngehubungin cs email tidak ditanggapin kecewa livin problem,negatif
sangat bagus,positif
aplikasi payah banking parah aplikasi tidak bisa buka,negatif
mohon tolong hapus data aplikasi livin nama guna ahmad saputra tidak daftar akun bank tolong hapus data aju,netral
login karna habis ganti hp ehh maintance kemarin tidak selesai selesai,netral
tibatiba log tidak kartu debit kredit jadi sabtu utk kantor cabang nunggu senin posisi sy tidak biasa simpan uag cash paksa tidak bisa beli livin log dg,negatif
puas,positif
selamat sore liviin mandiri data data tidak rugi kali daftar untu buka buku tabung tidak hasil sangat rugi data data masuk tolong salah uninstall aplikasi,netral
layan baik,positif
kemaren kemaren aman transaksi apa lancar kesini transfer top g bisa bisa ribet banget tolong baik,positif
susah bikin aplikasi livin mandiri tidak bisa proses tinggal kirim kode otp mandiri tidak balas,negatif
susah masuk,netral
adu customer pake pulsa era,netral
mantaf,netral
cukup puas gabisa login,positif
sulit kantor jauhh,netral
keren abisrekom asyiik,netral
otp masuk otp sistem pelihara tingkat sistem arahin suruh kantor cabang maslaah sinyal normal males kalu,netral
hallo mandiri alami ganggu transaksi qris trx qris mandiri bri saldo potong tidak masuk terima besar saldo potong juta jadi tgl april tanggal april saldo mohon tindak lanjut sy g transaksi qris takut g,netral
udah minggu daftar livin tidak bsa gara ganti hp,netral
aplikasi lot buka,netral
sangat baik,positif
aplikasi bank teribet temuin login udah mati masuk udah verifikasi muka susah pas udah bisa suruh cabang dekat aneh banget copet online please pake bank udah gaada ubah banget saranin lebih baik bca fitur bintang kasih bintang sumpah,positif
oke,netral
bagus,positif
mandiri parah maintenance tidak lelet mkin mkin bagus payah woii nyesel gw pke mandiri bank bca tidak kya mandiri huh payah,netral
tidak darurat jam tidak bisa nunggu nyampe jam ampun ampun,negatif
pulang mudik nyampai rumah jam isi token saldo potong resi transaksi tidak hasil genting mandiri mobile tidak bisa andal sangat kecewa,negatif
aplikasi banyak maintenance,netral
kartu blokir sabtu buka livin eh tibatiba ganti passwordmana kudu masukin kartu karna kartu blokir tidak bisa nunggu senin buangbuang,negatif
app bapuk jam tidak bisa top pln,netral
sangat bantu,netral
verifikasi wajah gagal,negatif
ak pake livin sangat batu mudah praktis livin ak tidak bisa pake yah buka tidak bisa buka mohon bantu bank mandiri,negatif
aplikasi nyamancuma koa tibatiba ngak bisa login mohon bantu login akun livin,netral
trimsksih,netral
sistem ribet bisa blokir pin pasword tidak salah kadaluarsa bisa blokir tolong sistem tiada main blokir bikin ribet ngurus kantor cabang,netral
livin login perangkat baru tidak bisa alas pelihara arah kanto cabang dekat mohon jelas singkat,negatif
oke,netral
lupa password tidak bisa masuk baru jdi atm blokir,negatif
sangat muas,netral
pakenya oke sering susah topup transfer ganggu aplikasi,netral
oke susah loadingnya,netral
jam,netral
heran tidak bisa masuk login kondisi baru download alesannya hp tidak dukung livin hp tidak,negatif
tidak bisa log,negatif
bisa nasabah pilih,netral
x top emoney saldo potong saldo tidak tambah cs instagram tidak solutif robot email balesnya estimasi gaada tolong baik servicenya kelas bumn,positif
anjrit saldo x potong,netral
kasih bintang klw bantu bintang,netral
sangat bantu,netral
mantap,positif
sangat puas layan,positif
gajelas ambil selfie susah niat gasih buset dah ganti pw susah tidak karuan lot gajelas selfie tidak acc,netral
paan nih aplikasi tidak bisa dipake alas hape tidak dukung kmrn bisa pake baharu logo tidak bisa dipake,negatif
,netral
sangat bantu daftar mudahh truss buat rekening tidak pake ribett tidak kantor langsung kirim tinggal daftar aplikasi langsung tinggal kirim kurir mkshh livin mandiri,netral
buka rekening bank mandiri sangat baik,positif
mobile banking app lengkap tabung deposito reksadana saham sbn genggam,netral
tidak bisa narik urang sampe kosong gilir pake temen bisa _,negatif
suka error tidak ni aplikasi bikin kesel pas ngantri bayar,netral
good,netral
permisi mbak layan livin mandiri hp redmi c tidak dukung kak,netral
oke,netral
tidak bisa login data tidak sesuai pas masukin tgl lahir tgl lahir,negatif
susah login ulang force close restart device handphone ttp tidak bisa login,negatif
lansis gaptek ribet dng w update,netral
sangat bagus,positif
login salah tolong gimna,netral
tidak bisa log layan mobile banking pasu kode otp muncul halaman akses tidak,negatif
aplikasi tidak bisa buka,negatif
request kartu info kirim tidak gimana,netral
tidak bisa buka,negatif
mantap,positif
sangat bantu,netral
kecewa kecewa kecewa tidak bisa login verifikasi wajah aplikasi unfaedah,negatif
maka living mandiri sangat membantutp syng aplikasi sangat cepet updateblm thn update,netral
sangat memudahkandan flexible,netral
nggak bisa layan tidak sedia,netral
dar mobile bankking,netral
good,netral
tidak sengaja buang stlh download susah masuk kode otp tlf operator ttp tidak bantu mohon tingkat aplikasi,netral
tolong hapus pilih atm kirim alamat rumah teman daftar online tidak kirim atm daftar online lebih mudah proses livin bankingnya buka rekening baru offline masuk livin pasword system guna baru sampe ganti puluh pasword gagal tidak rekomendasi pasword google rekomendasi pasword system livin aplikasi koplak,negatif
saldo rekening tidak tambah mutasi terima transfer,netral
living tidak bisa akses lapor kcp dekat tidak jalan kluar bisa kelas bank nasional lelet tangan keluh nasabah,negatif
oke pis,netral
gimna lihat laku bnk mandiri,netral
livin mandiri tidak bisa lihat saldo tidak bisa isi saldo,negatif
sangat bantu,netral
kenaa dowlod aplikasi livin mandiri tidak bisa buka,negatif
buka susah,netral
login proses mulu kode otp tidak bisa n pelihara sue,negatif
ganggu banget baik biar transfer via mbanking jam jam ganggu ribet banget ganggu,positif
tidak bs malam,netral
malam pelihara tidak ubah bank tidak laku mandiri lebih bagus bca,positif
update jam mlem aneh gw mahga nyaman kaya gin trustolong kembang bagus,positif
bagus,positif
layan bayar xlhome nggak simpan angka tidak langsung muncul,netral
danatopup tidak bisa woy udah pin tidak nomor nomor udah aktif tolong baik,netral
sangat mebatu,netral
mantap,positif
livin mandiri erorsaya dwonlod hp baruvivo ykok tidak bisa bukadan kemarin tidak bisa verifikasi wajahselalu gagal,negatif
min tidak bisa buka hp android yah,negatif
aplikasi livin sangat bantu,netral
mantap,positif
kartu habis berlakudalam menit selesai ganti baru,netral
amanah,netral
bikin bangkin knpa gagal pas verifikasi pas foto ktp knpa kamera blur pas kemera asli bagus bagus kcewa,netral
sangat bantu,netral
jelek banget ganti sandi,negatif
livin mandiri tidak bisa masuk,negatif
,netral
jelek banding banking bank login langsung sandi tidak bisa ganti akun,negatif
susah banget registrasi verifikasi ktp menu,netral
keren,netral
tidak paylater livinnya,netral
bagus sih aplikasi sayang admin mahal,positif
tamabahin fitur notif transaksi masuk biar mudah,netral
tagih ksm tgl tagih tgl komplain mita mandiri email mandiricare tidak respon sangat kecewa mandiri kali kirim email tidak balas komentar aplikasi mandiri suruh via email tidak respon balas email,negatif
coba akun livin mandiri akun livin mandiri cab bank mandiri tidak bisa manual tidak sistem gitu tidak saldo kirim uang baru pin mandiri digit coba akun livin mandiri,negatif
aplikasi sulit login buth,netral
mntap aplikasi,netral
bagus susah mendownload,positif
baik,positif
suruh ganti sandi gimana,netral
untung,netral
daftar livin hp pas klik kartu mental menu,netral
mantab,netral
kayak ber login tidak bisa ni,negatif
baik,positif
oke,netral
aplikasi sangat bagus,positif
sangat,netral
topap pulsa sdah jam tidak masuk pulsa saldo rekening sdah kurang,netral
sangat bantu mudah transaksi mana,netral
sangat mudah transaksi ambil uang egk nyesel,netral
oke,netral
mantap kali livin,positif
bank tidak tanggung,netral
tidak bisa masuk,negatif
aplikasi livin tidak bisa buka,negatif
udah bikin online tanggal april bom sampe kartu alamat,netral
potong tidak hari bisa x potong rp gapaham banking,netral
bagus,positif
aplikasi lag lot sinyal lancar moga cepat baik good job,positif
daftar tolak suruh ulang alasans trafik penuh effort kantor cabang suruh online gagal kecewa,negatif
loading buka aplikasi butuh jaring internet benerbener bagus banding aplikasi banking jaring internet bisa buka mandiri lot,positif
trimkasih livin mandiri sangat mmbantu transaksi uang,netral
mantap,positif
aktivasi kartu kredit sulit jd nasabah udah banget,netral
gimana sih aplikasi tidak tau tau login ulang udah verifikasi tetep gag bisa pakai terang verifikasi tambah cabang terdekatudah cabang tetep gag bisa aplikasi cs hubung ampuun yok opo sih please lahh layan tingkat nasabah kecewa maaf bintang meluncurr,negatif
bagus tidak bisa akses livin mandiri error terussudah kantor cabang masalah,negatif
livin sengklek aplikasi klw buka logout,netral
bagu bgatt,netral
bguss,netral
hp,netral
bagus,positif
good,netral
respon kemarin atas cepat mudah mudah aplikasi tidak error kendala,netral
baik terima kasih layananya,positif
rekening mandiri bank moga kartu debit visa kirim alamat rumah pelit dalih silah ambil kantor cabang malas kantor bank mandiri coba bank bar layan cari untung,netral
kali daftar kode gmail nggak masuk,netral
layan tidak sedia,netral
semenjak perintah update aplikasi tidak bisa login mentok kode otp terang baik sistem udah parah sih,negatif
sangat puas layan mandiri,positif
iklan,netral
tidak bisa login aneh,negatif
bisa buka ganggu,netral
good,netral
oke,netral
tidak bisa daftar muncul pesan aplikasi tingkat,negatif
serba mudah pake livin mandiri,netral
sangat bantu,netral
sangat buruk aplikasi tidak bisa buka pdhl tidak perintah update,negatif
laporkok atur biometrik error yatida bisa atur kayak bisa cuman error terustolong baik,netral
sih livin kemaren kga bisa login baik,positif
baik,positif
kartu livin mandiri blmpunya kartu fisik daftar online,netral
tidak bisa buka gimana tidak bisa blik akun udah masukin salah udah masukin uang,negatif
maintenance tidak bsa transfer jgan status ulang transfer menit ulang transfer jam aplikasi lu maintenance jam lebih jing sat,netral
transfer salalu gagal malam payah,negatif
trouble mulu gabisa pakek transaksi apa,netral
selamat malam bapakibu cs mohon maaf tolong bantu mobile banking mandiri jam jam offline transaksi mohon maaf banding bca jam pagi jarang offline tolong bantu baik nasabah bisa transaksi atas jam bisa terima kasih masuk mohon maaf hubung ca offline sabar sabar,positif
sangat bagus bantu,positif
aplikasi eror parah,negatif
tolong aplikasi livin diperbaikin tipu aplikasi perban mudah tarik dana hasil tipu verifikasi wajah milik rekening,netral
aplikasi sampah,negatif
malam susah,netral
kocag baru sistem mulu pake livyn lebih praktis biar tidak pake kartu ganggu mulu,netral
sangat arti livin mandiri,netral
mantap,positif
bagus aplikasi livin sangat simpel cuman tingkat cetak sesi mutasi transaksi tidak,positif
moga sistem depan bagus terima kasih,positif
sangat bagus,positif
verifiasi wajah peka bos sulit malam tidak,netral
gampang daftar,netral
ribet sumpah,netral
bagus shi pinjam dana livin tidak muncul,positif
aplikasi nge close pake,netral
lebih stiap kirim otp pelihara layan l,netral
livin tibatiba tidak bisa login mohon arah,negatif
tidak bisa buka akun karna tidak tahu,negatif
aplikasi error transaksi transfer top tidak bisa cabang mandiri tidak bisa,negatif
oke,netral
buka diarahin update update buka tetep tidak bisamasih error suruh update mulu mana ni tugas tidur livin kokoh dngan program kuat mudah,negatif
tingkat layan,netral
coba ulang mudah mudah bisa kemarin tidak bisa livin,negatif
kren,netral
eror gabisa login butuh banget transfer,netral
,netral
pasu akun tidak bsa suru masukin data tidak bsa masuk livin mlh suruh k kantor cabang tolong perbaikin,netral
tolong donguntuk mandiri daftar livin hp baru kagabisa ajhpermintaan tidak proses tolong saran,netral
aplikasi livin tidak bisa buka kendala,negatif
aplikasi mandiri tidak bisa buka perintah hapus share scanner tidak aplikasi berjlan,negatif
good,netral
tarik tunai kartu uang tidak saldo kurang tlvn cs mandiri tidak solusinyamalah suruh nunggu kantor cabang buka uang pakai perlu baru kali pakai mandiri pakai bank uang tidak otomatis saldo rekening sungguh buruk lapor tidak solusi mandiri uang hilang lapor cs tidak jelas minus mandiri,negatif
ribet,netral
mudah akses bank,netral
masuk aplikasi sulit auto uninstal,netral
turunin bintang dlu kecewa beli pake qr rwbu tunda saldo potong klaim ampe bulan lambat,negatif
bagus,positif
god,netral
login ketik pasword tidak bisa jaring internet lancar problem aplikasi livin,netral
payrol utama sangan bagus mudah fitur pinjam cepat livin ku mutu dadak ngk pinjam,positif
livin mandiri akses cepat,positif
mantap praktis,positif
teller ramah sangat bantu,netral
aplikasi super mantap,positif
sangat baik,positif
kendala masuk update tolong dibenerin aplnya,netral
senang pakai tidak pakai ribet,positif
sangat bantu,netral
